S1_ALL_ID,S1_ALL_S1_F1_RA,S1_ALL_S1_F1_DEC,S1_ALL_S1_F1_MAG1_1,S1_ALL_S1_F1_ERR1_1,S1_ALL_S1_F3_ID,S1_ALL_S1_F3_RA,S1_ALL_S1_F3_DEC,S1_ALL_S1_F3_MAG1_3,S1_ALL_S1_F3_ERR1_3,S1_ALL_S1_F4_ID,S1_ALL_S1_F4_RA,S1_ALL_S1_F4_DEC,S1_ALL_S1_F4_MAG1_4,S1_ALL_S1_F4_ERR1_4,S1_ALL_Separation_S1_F3_S1_F1,S1_ALL_Separation_S1_F4_S1_F1,S1_ALL_Separation_S1_F4_S1_F3,S1_ALL_Separation_max,S1_ALL_ncat,S1_ALL_dist_bayesfactor,S1_ALL_dist_bayesfactor_corrected,S1_ALL_dist_post,S1_ALL_p_single,S1_ALL_p_any,S1_ALL_p_i,S1_ALL_match_flag,S1_ALL_36_asn,S1_ALL_RA,S1_ALL_DEC,S2_ALL_ID,S2_ALL_S2_F1_RA,S2_ALL_S2_F1_DEC,S2_ALL_S2_F1_MAG2_1,S2_ALL_S2_F1_ERR2_1,S2_ALL_S2_F3_ID,S2_ALL_S2_F3_RA,S2_ALL_S2_F3_DEC,S2_ALL_S2_F3_MAG2_3,S2_ALL_S2_F3_ERR2_3,S2_ALL_S2_F4_ID,S2_ALL_S2_F4_RA,S2_ALL_S2_F4_DEC,S2_ALL_S2_F4_MAG2_4,S2_ALL_S2_F4_ERR2_4,S2_ALL_Separation_S2_F3_S2_F1,S2_ALL_Separation_S2_F4_S2_F1,S2_ALL_Separation_S2_F4_S2_F3,S2_ALL_Separation_max,S2_ALL_ncat,S2_ALL_dist_bayesfactor,S2_ALL_dist_bayesfactor_corrected,S2_ALL_dist_post,S2_ALL_p_single,S2_ALL_p_any,S2_ALL_p_i,S2_ALL_match_flag,S2_ALL_45_asn,S2_ALL_RA,S2_ALL_DEC,Separation_S2_ALL_S1_ALL,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'35',10.70452009,40.8578321,15.88250491,0.0273,'11866',10.70451142,40.8578572,17.26050491,0.0526,'-99',-99,-99,-99,-99,0.09339276,nan,nan,0.09339276,2,12.53415,12.53415,0.9913142,0.9913142,0.99462056,0.61727846,1,2,10.704515755,40.85784465,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0.99822843,0,0
'35',10.70452009,40.8578321,15.88250491,0.0273,'11866',10.70451142,40.8578572,17.26050491,0.0526,'-99',-99,-99,-99,-99,0.09339276,nan,nan,0.09339276,2,12.53415,12.53415,0.9913142,0.9913142,0.99462056,0.61727846,1,2,10.704515755,40.85784465,'5693',10.70453486,40.85781985,15.78755224,0.0416,'1367',10.70446194,40.85782113,15.62155224,0.0287,'-99',-99,-99,-99,-99,0.19860055,nan,nan,0.19860055,2,12.200612,12.200612,0.9800857,0.9800857,0.9800857,1,1,2,10.7044984,40.85782049,0.09898381,0.09898381,2,12.522472,0.99822843,0.99822843,0.99822843,1,1
'37',10.76924046,40.7805371,17.97350491,0.0731,'10411',10.76929406,40.7805736,18.11250491,0.0837,'-99',-99,-99,-99,-99,0.19650657,nan,nan,0.19650657,2,12.209595,12.209595,0.9818367,0.9818367,0.9818367,1,1,2,10.76926726,40.78055535,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'43',10.74493012,40.83369101,16.63950491,0.0345,'3406',10.74488872,40.83367424,16.64050491,0.0362,'-99',-99,-99,-99,-99,0.12790929,nan,nan,0.12790929,2,12.451216,12.451216,0.9895057,0.9895057,0.9895057,1,1,2,10.74490942,40.833682625,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'50',10.71748579,40.89177533,16.03450491,0.0228,'3260',10.71743186,40.89174199,16.03450491,0.0247,'-99',-99,-99,-99,-99,0.18959413,nan,nan,0.18959413,2,12.238572,12.238572,0.98298913,0.98298913,0.98298913,1,1,2,10.717458825,40.89175866,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'54',10.73344849,40.88060148,16.58550491,0.0363,'6093',10.73339091,40.88059321,16.70450491,0.0385,'-99',-99,-99,-99,-99,0.15952803,nan,nan,0.15952803,2,12.352539,12.352539,0.98686385,0.98686385,0.98686385,1,1,2,10.7334197,40.880597345,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'62',10.63626766,40.81637603,17.24950491,0.0301,'2094',10.63626617,40.81635391,17.57250491,0.0509,'-99',-99,-99,-99,-99,0.079735406,nan,nan,0.079735406,2,12.559822,12.559822,0.99180865,0.99180865,0.99180865,1,1,2,10.636266915,40.81636497,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'64',10.62856711,40.82650081,16.37450491,0.0226,'5077',10.62852209,40.8264928,16.19050491,0.0242,'-99',-99,-99,-99,-99,0.12598321,nan,nan,0.12598321,2,12.456525,12.456525,0.9896319,0.9896319,0.9896319,1,1,2,10.6285446,40.826496805,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'66',10.61943712,40.82961832,16.81550491,0.0371,'4005',10.61946273,40.82957693,16.87350491,0.0441,'399',10.61941438,40.82959934,16.92950491,0.0378,0.16452587,0.09222608,0.15444906,0.16452587,3,24.952478,24.952478,0.99990094,0.99990094,0.9923664,0.98169094,1,3,10.6194380766667,40.8295981966667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'70',10.59544696,40.8568087,17.41950491,0.0366,'-99',-99,-99,-99,-99,'52',10.59539676,40.85677229,17.53150491,0.0724,nan,0.18937862,nan,0.18937862,2,12.239459,12.239459,0.9832147,0.9832147,0.9832147,1,1,2,10.59542186,40.856790495,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'77',10.61044519,40.85014333,17.22450491,0.0391,'2103',10.61044218,40.85015184,17.40150491,0.0502,'-99',-99,-99,-99,-99,0.03171354,nan,nan,0.03171354,2,12.61793,12.61793,0.9928271,0.9928271,0.9928271,1,1,2,10.610443685,40.850147585,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'84',10.62725682,40.81288827,16.74850491,0.034,'5483',10.62727369,40.81283852,16.84850491,0.0453,'-99',-99,-99,-99,-99,0.18490425,nan,nan,0.18490425,2,12.257642,12.257642,0.98370796,0.98370796,0.98370796,1,1,2,10.627265255,40.812863395,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'85',10.62965967,40.8154583,16.86550491,0.0384,'-99',-99,-99,-99,-99,'2146',10.62959071,40.81545347,16.83850491,0.0438,nan,0.18868768,nan,0.18868768,2,12.242295,12.242295,0.9833221,0.9833221,0.9833221,1,1,2,10.62962519,40.815455885,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'86',10.68091355,40.76382509,17.43850491,0.0515,'5713',10.68085383,40.76379765,17.36750491,0.0364,'-99',-99,-99,-99,-99,0.19045742,nan,nan,0.19045742,2,12.23501,12.23501,0.9828514,0.9828514,0.9828514,1,1,2,10.68088369,40.76381137,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'87',10.68353756,40.75958165,16.60550491,0.0296,'6900',10.68350775,40.75957491,16.49750491,0.0219,'-99',-99,-99,-99,-99,0.08483124,nan,nan,0.08483124,2,12.550717,12.550717,0.9916365,0.9916365,0.9916365,1,1,2,10.683522655,40.75957828,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'89',10.69163941,40.77647895,16.79750491,0.0219,'865',10.69159577,40.77645069,16.72350491,0.0275,'-99',-99,-99,-99,-99,0.1565371,nan,nan,0.1565371,2,12.3628025,12.3628025,0.9871667,0.9871667,0.9871667,1,1,2,10.69161759,40.77646482,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'90',10.67220162,40.77469628,16.36850491,0.03,'748',10.67214552,40.77467061,16.52050491,0.0233,'-99',-99,-99,-99,-99,0.17869228,nan,nan,0.17869228,2,12.282165,12.282165,0.9845886,0.9845886,0.9845886,1,1,2,10.67217357,40.774683445,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'97',10.59956708,40.87022629,17.07950491,0.0521,'52',10.59950963,40.87020033,17.03050491,0.0606,'-99',-99,-99,-99,-99,0.18219146,nan,nan,0.18219146,2,12.268454,12.268454,0.9841022,0.9841022,0.9841022,1,1,2,10.599538355,40.87021331,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'98',10.59732877,40.87318008,16.49450491,0.0388,'53',10.59727118,40.87316389,16.46250491,0.0312,'-99',-99,-99,-99,-99,0.16725397,nan,nan,0.16725397,2,12.325128,12.325128,0.98601997,0.98601997,0.98601997,1,1,2,10.597299975,40.873171985,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'99',10.63896479,40.83150065,17.27650491,0.0607,'-99',-99,-99,-99,-99,'7357',10.63893529,40.83151864,17.05750491,0.0443,nan,0.10320491,nan,0.10320491,2,12.513206,12.513206,0.9909925,0.9909925,0.9909925,1,1,2,10.63895004,40.831509645,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'102',10.67710916,40.76814625,16.58350491,0.0268,'1753',10.67708879,40.76813032,16.39350491,0.0225,'-99',-99,-99,-99,-99,0.079833135,nan,nan,0.079833135,2,12.559652,12.559652,0.9918055,0.9918055,0.9918055,1,1,2,10.677098975,40.768138285,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'105',10.67796916,40.76943742,18.47250491,0.0819,'8259',10.67794185,40.76939821,18.11150491,0.0605,'-99',-99,-99,-99,-99,0.1595906,nan,nan,0.1595906,2,12.352323,12.352323,0.98685735,0.98685735,0.98685735,1,1,2,10.677955505,40.769417815,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'114',10.67826953,40.77324502,17.64950491,0.0535,'2563',10.67821223,40.77323615,17.59550491,0.0437,'-99',-99,-99,-99,-99,0.15944608,nan,nan,0.15944608,2,12.352823,12.352823,0.9868723,0.9868723,0.9868723,1,1,2,10.67824088,40.773240585,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'118',10.70280285,40.78329875,16.22450491,0.0171,'2797',10.70276292,40.78328,16.28450491,0.0221,'-99',-99,-99,-99,-99,0.12807517,nan,nan,0.12807517,2,12.450754,12.450754,0.9894947,0.9894947,0.9894947,1,1,2,10.702782885,40.783289375,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'119',10.73270516,40.70588696,17.61950491,0.0614,'9690',10.73270681,40.70585521,17.37550491,0.0409,'-99',-99,-99,-99,-99,0.11438867,nan,nan,0.11438867,2,12.486784,12.486784,0.99032295,0.99032295,0.99032295,1,1,2,10.732705985,40.705871085,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'123',10.69798239,40.77083519,17.84450491,0.0376,'2661',10.69792673,40.77081884,17.84650491,0.0408,'-99',-99,-99,-99,-99,0.16276562,nan,nan,0.16276562,2,12.34121,12.34121,0.9865213,0.9865213,0.9865213,1,1,2,10.69795456,40.770827015,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'126',10.66826003,40.79613557,17.87750491,0.0781,'732',10.66824074,40.79609213,18.26150491,0.0583,'708',10.6682174,40.79610007,18.22350491,0.0727,0.1649841,0.17271635,0.06973674,0.17271635,3,24.934492,24.934492,0.9998967,0.9998967,0.98722243,0.98574895,1,3,10.66823939,40.7961092566667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'136',10.64489485,40.90220346,15.80450491,0.0306,'2587',10.64484825,40.9021626,15.91450491,0.024,'-99',-99,-99,-99,-99,0.19420327,nan,nan,0.19420327,2,12.219366,12.219366,0.9822336,0.9822336,0.9822336,1,1,2,10.64487155,40.90218303,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0.9972462,0,0
'136',10.64489485,40.90220346,15.80450491,0.0306,'2587',10.64484825,40.9021626,15.91450491,0.024,'-99',-99,-99,-99,-99,0.19420327,nan,nan,0.19420327,2,12.219366,12.219366,0.9822336,0.9822336,0.9822336,1,1,2,10.64487155,40.90218303,'6785',10.64485401,40.90223518,15.87155224,0.0256,'4694',10.64483774,40.9022144,15.92255224,0.0205,'-99',-99,-99,-99,-99,0.08692584,nan,nan,0.08692584,2,12.546811,12.546811,0.99092716,0.99092716,0.99092716,1,1,2,10.644845875,40.90222479,0.16577545,0.16577545,2,12.330474,0.9972462,0.9972462,0.9972462,1,1
'138',10.67107789,40.89898799,17.61950491,0.0841,'-99',-99,-99,-99,-99,'181',10.67103159,40.89897115,17.60250491,0.0746,nan,0.13981467,nan,0.13981467,2,12.416609,12.416609,0.9887739,0.9887739,0.99370563,0.55790913,1,2,10.67105474,40.89897957,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'142',10.73891767,40.71253893,18.14550491,0.0524,'10202',10.73887719,40.71249507,17.94150491,0.0523,'-99',-99,-99,-99,-99,0.19269846,nan,nan,0.19269846,2,12.225687,12.225687,0.98248583,0.98248583,0.98248583,1,1,2,10.73889743,40.712517,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'144',10.67655418,40.8174501,17.66650491,0.0692,'-99',-99,-99,-99,-99,'6924',10.6764994,40.81741397,17.76850491,0.0767,nan,0.19797003,nan,0.19797003,2,12.203327,12.203327,0.98178494,0.98178494,0.98178494,1,1,2,10.67652679,40.817432035,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'145',10.67674902,40.81819844,17.11850491,0.0553,'-99',-99,-99,-99,-99,'2588',10.67668826,40.81821337,17.14450491,0.0667,nan,0.17404376,nan,0.17404376,2,12.299968,12.299968,0.98536575,0.98536575,0.98536575,1,1,2,10.67671864,40.818205905,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'146',10.71185425,40.76469201,15.94250491,0.0175,'3747',10.71180671,40.76466173,16.19350491,0.0242,'-99',-99,-99,-99,-99,0.1693669,nan,nan,0.1693669,2,12.317406,12.317406,0.9857727,0.9857727,0.9857727,1,1,2,10.71183048,40.76467687,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'150',10.66034414,40.83455247,15.02850491,0.0176,'171',10.66030124,40.83453557,15.21050491,0.0236,'-99',-99,-99,-99,-99,0.13173951,nan,nan,0.13173951,2,12.440417,12.440417,0.98924434,0.98924434,0.98924434,1,1,2,10.66032269,40.83454402,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'153',10.68907151,40.78921733,17.14950491,0.0373,'2620',10.68900824,40.78919116,17.12550491,0.0329,'-99',-99,-99,-99,-99,0.19650704,nan,nan,0.19650704,2,12.209593,12.209593,0.9818366,0.9818366,0.9818366,1,1,2,10.689039875,40.789204245,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'159',10.74340376,40.72141783,18.34550491,0.0705,'3053',10.743454,40.72144497,18.41950491,0.0775,'-99',-99,-99,-99,-99,0.16833197,nan,nan,0.16833197,2,12.321199,12.321199,0.98589474,0.98589474,0.9928055,0.50650966,1,2,10.74342888,40.7214314,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
