S2_1_3_ID,S2_1_3_S2_F1_RA,S2_1_3_S2_F1_DEC,S2_1_3_S2_F1_MAG2_1,S2_1_3_S2_F1_ERR2_1,S2_1_3_S2_F3_ID,S2_1_3_S2_F3_RA,S2_1_3_S2_F3_DEC,S2_1_3_S2_F3_MAG2_3,S2_1_3_S2_F3_ERR2_3,S2_1_3_Separation_S2_F3_S2_F1,S2_1_3_Separation_max,S2_1_3_ncat,S2_1_3_dist_bayesfactor,S2_1_3_dist_post,S2_1_3_p_single,S2_1_3_p_any,S2_1_3_p_i,S2_1_3_match_flag,S2_1_3_asn,S2_1_3_RA,S2_1_3_DEC,S2_F4_ID,S2_F4_RA,S2_F4_DEC,S2_F4_MAG2_4,S2_F4_ERR2_4,Separation_S2_F4_S2_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'1',10.52251505,40.95751873,17.18055224,0.0829,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.52251505,40.95751873,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'4',10.53570645,40.95238343,16.20155224,0.039,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.53570645,40.95238343,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'5',10.52813958,40.97739517,15.76255224,0.037,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.52813958,40.97739517,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6',10.54636017,40.94959386,16.78255224,0.0627,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.54636017,40.94959386,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'7',10.56976461,40.97518359,17.90855224,0.1155,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.56976461,40.97518359,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.6206197,0,0
'7',10.56976461,40.97518359,17.90855224,0.1155,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.56976461,40.97518359,'1154',10.56952853,40.97525634,17.52755224,0.0877,0.6930503,0.6930503,2,10.723042,0.6206197,0.6206197,0.6206197,1,1
'8',10.58090827,40.97796036,17.52155224,0.054,'5734',10.58089803,40.97796894,17.29655224,0.069,0.041576777,0.041576777,2,12.022099,0.97026247,0.97026247,0.97026247,1,1,2,10.58090315,40.97796465,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'9',10.58166921,40.98019078,17.22255224,0.0852,'65',10.58166703,40.98012583,17.22955224,0.086,0.23389505,0.23389505,2,11.878297,0.9590677,0.9590677,0.9590677,1,1,2,10.58166812,40.980158305,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.95822424,0,0
'9',10.58166921,40.98019078,17.22255224,0.0852,'65',10.58166703,40.98012583,17.22955224,0.086,0.23389505,0.23389505,2,11.878297,0.9590677,0.9590677,0.9590677,1,1,2,10.58166812,40.980158305,'423',10.58165598,40.98009214,17.18155224,0.0813,0.24046823,0.24046823,2,11.869834,0.95822424,0.95822424,0.95822424,1,1
'10',10.65269589,40.84176835,17.17555224,0.0852,'7162',10.65262879,40.84178689,17.65855224,0.085,0.19455165,0.19455165,2,11.924051,0.9630093,0.9630093,0.9630093,1,1,2,10.65266234,40.84177762,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9393729,0,0
'10',10.65269589,40.84176835,17.17555224,0.0852,'7162',10.65262879,40.84178689,17.65855224,0.085,0.19455165,0.19455165,2,11.924051,0.9630093,0.9630093,0.9630093,1,1,2,10.65266234,40.84177762,'1243',10.65254301,40.84181161,17.54955224,0.0966,0.34726387,0.34726387,2,11.699462,0.9393729,0.9393729,0.9393729,1,1
'11',10.63977562,40.87660433,17.22955224,0.0853,'4606',10.63978102,40.87655123,17.37655224,0.0544,0.1917243,0.1917243,2,11.927016,0.96325165,0.96325165,0.96325165,1,1,2,10.63977832,40.87657778,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'12',10.57393495,40.9221522,18.09655224,0.081,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.57393495,40.9221522,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'13',10.56836287,40.95678053,16.28755224,0.0233,'2925',10.56827735,40.95674747,16.21155224,0.0309,0.2611972,0.2611972,2,11.841607,0.9556196,0.9556196,0.9556196,1,1,2,10.56832011,40.956764,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.96905375,0,0
'13',10.56836287,40.95678053,16.28755224,0.0233,'2925',10.56827735,40.95674747,16.21155224,0.0309,0.2611972,0.2611972,2,11.841607,0.9556196,0.9556196,0.9556196,1,1,2,10.56832011,40.956764,'1556',10.56828852,40.95677103,15.96155224,0.0383,0.089536056,0.089536056,2,12.005031,0.96905375,0.96905375,0.96905375,1,1
'14',10.58262794,40.93105946,16.56955224,0.0361,'2530',10.58256535,40.93102346,16.53655224,0.0673,0.21395113,0.21395113,2,11.902541,0.9612039,0.9612039,0.9612039,1,1,2,10.582596645,40.93104146,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9584309,0,0
'14',10.58262794,40.93105946,16.56955224,0.0361,'2530',10.58256535,40.93102346,16.53655224,0.0673,0.21395113,0.21395113,2,11.902541,0.9612039,0.9612039,0.9612039,1,1,2,10.582596645,40.93104146,'1646',10.5825101,40.93103038,16.68355224,0.063,0.23874044,0.23874044,2,11.872081,0.9584309,0.9584309,0.9584309,1,1
'16',10.55915425,40.9637415,14.17155224,0.0245,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.55915425,40.9637415,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9667187,0,0
'16',10.55915425,40.9637415,14.17155224,0.0245,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.55915425,40.9637415,'2987',10.55910245,40.96374555,15.28255224,0.0372,0.14156842,0.14156842,2,11.97239,0.9667187,0.9667187,0.9667187,1,1
'17',10.58471241,40.93066815,15.11455224,0.0281,'2535',10.58471811,40.93062352,15.05255224,0.0229,0.1614142,0.1614142,2,11.956069,0.9655477,0.9655477,0.9655477,1,1,2,10.58471526,40.930645835,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.96386886,0,0
'17',10.58471241,40.93066815,15.11455224,0.0281,'2535',10.58471811,40.93062352,15.05255224,0.0229,0.1614142,0.1614142,2,11.956069,0.9655477,0.9655477,0.9655477,1,1,2,10.58471526,40.930645835,'3038',10.58465069,40.93063109,15.15255224,0.0232,0.18346515,0.18346515,2,11.935427,0.96386886,0.96386886,0.96386886,1,1
'18',10.62789314,40.87759705,16.30155224,0.032,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62789314,40.87759705,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.95441234,0,0
'18',10.62789314,40.87759705,16.30155224,0.032,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62789314,40.87759705,'126',10.62783609,40.87753599,15.55655224,0.032,0.26913565,0.26913565,2,11.83018,0.95441234,0.95441234,0.95441234,1,1
'20',10.63030021,40.89930308,17.36655224,0.0752,'7461',10.63030545,40.89935979,17.70255224,0.0941,0.20465331,0.20465331,2,11.913106,0.9621009,0.9621009,0.9621009,1,1,2,10.63030283,40.899331435,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.95527816,0,0
'20',10.63030021,40.89930308,17.36655224,0.0752,'7461',10.63030545,40.89935979,17.70255224,0.0941,0.20465331,0.20465331,2,11.913106,0.9621009,0.9621009,0.9621009,1,1,2,10.63030283,40.899331435,'3206',10.63022914,40.89937875,17.41055224,0.0859,0.26309896,0.26309896,2,11.838901,0.95527816,0.95527816,0.95527816,1,1
