S1_1_3_4_ID,S1_1_3_4_S1_1_3_S1_F1_RA,S1_1_3_4_S1_1_3_S1_F1_DEC,S1_1_3_4_S1_1_3_S1_F1_MAG1_1,S1_1_3_4_S1_1_3_S1_F1_ERR1_1,S1_1_3_4_S1_1_3_S1_F3_ID,S1_1_3_4_S1_1_3_S1_F3_RA,S1_1_3_4_S1_1_3_S1_F3_DEC,S1_1_3_4_S1_1_3_S1_F3_MAG1_3,S1_1_3_4_S1_1_3_S1_F3_ERR1_3,S1_1_3_4_S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_4_S1_1_3_Separation_max,S1_1_3_4_S1_1_3_ncat,S1_1_3_4_S1_1_3_dist_bayesfactor,S1_1_3_4_S1_1_3_dist_post,S1_1_3_4_S1_1_3_p_single,S1_1_3_4_S1_1_3_p_any,S1_1_3_4_S1_1_3_p_i,S1_1_3_4_S1_1_3_match_flag,S1_1_3_4_S1_1_3_asn,S1_1_3_4_S1_1_3_RA,S1_1_3_4_S1_1_3_DEC,S1_1_3_4_S1_F4_ID,S1_1_3_4_S1_F4_RA,S1_1_3_4_S1_F4_DEC,S1_1_3_4_S1_F4_MAG1_4,S1_1_3_4_S1_F4_ERR1_4,S1_1_3_4_Separation_S1_F4_S1_1_3,S1_1_3_4_Separation_max,S1_1_3_4_ncat,S1_1_3_4_dist_bayesfactor,S1_1_3_4_dist_post,S1_1_3_4_p_single,S1_1_3_4_p_any,S1_1_3_4_p_i,S1_1_3_4_match_flag,S1_1_3_4_asn,S1_1_3_4_RA,S1_1_3_4_DEC,S2_1_3_4_ID,S2_1_3_4_S2_1_3_S2_F1_RA,S2_1_3_4_S2_1_3_S2_F1_DEC,S2_1_3_4_S2_1_3_S2_F1_MAG2_1,S2_1_3_4_S2_1_3_S2_F1_ERR2_1,S2_1_3_4_S2_1_3_S2_F3_ID,S2_1_3_4_S2_1_3_S2_F3_RA,S2_1_3_4_S2_1_3_S2_F3_DEC,S2_1_3_4_S2_1_3_S2_F3_MAG2_3,S2_1_3_4_S2_1_3_S2_F3_ERR2_3,S2_1_3_4_S2_1_3_Separation_S2_F3_S2_F1,S2_1_3_4_S2_1_3_Separation_max,S2_1_3_4_S2_1_3_ncat,S2_1_3_4_S2_1_3_dist_bayesfactor,S2_1_3_4_S2_1_3_dist_post,S2_1_3_4_S2_1_3_p_single,S2_1_3_4_S2_1_3_p_any,S2_1_3_4_S2_1_3_p_i,S2_1_3_4_S2_1_3_match_flag,S2_1_3_4_S2_1_3_asn,S2_1_3_4_S2_1_3_RA,S2_1_3_4_S2_1_3_DEC,S2_1_3_4_S2_F4_ID,S2_1_3_4_S2_F4_RA,S2_1_3_4_S2_F4_DEC,S2_1_3_4_S2_F4_MAG2_4,S2_1_3_4_S2_F4_ERR2_4,S2_1_3_4_Separation_S2_F4_S2_1_3,S2_1_3_4_Separation_max,S2_1_3_4_ncat,S2_1_3_4_dist_bayesfactor,S2_1_3_4_dist_post,S2_1_3_4_p_single,S2_1_3_4_p_any,S2_1_3_4_p_i,S2_1_3_4_match_flag,S2_1_3_4_asn,S2_1_3_4_RA,S2_1_3_4_DEC,Separation_S2_1_3_4_S1_1_3_4,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'35',10.70452009,40.8578321,15.88250491,0.0273,'11866',10.70451142,40.8578572,17.26050491,0.0526,0.09339276,0.09339276,2,12.53415,0.9913142,0.9913142,0.99462056,0.61727846,1,2,10.704515755,40.85784465,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.704515755,40.85784465,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0.99789476,0,0
'35',10.70452009,40.8578321,15.88250491,0.0273,'11866',10.70451142,40.8578572,17.26050491,0.0526,0.09339276,0.09339276,2,12.53415,0.9913142,0.9913142,0.99462056,0.61727846,1,2,10.704515755,40.85784465,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.704515755,40.85784465,'5693',10.70453486,40.85781985,15.78755224,0.0416,'1367',10.70446194,40.85782113,15.62155224,0.0287,0.19860055,0.19860055,2,12.200612,0.9800857,0.9800857,0.9800857,1,1,2,10.7044984,40.85782049,'933',10.70443015,40.85782358,15.67755224,0.0324,0.18616422,0.18616422,2,12.252565,0.98226005,0.98226005,0.98226005,1,1,3,10.70447565,40.85782152,0.13732369,0.13732369,2,12.424105,0.99789476,0.99789476,0.99789476,1,1
'37',10.76924046,40.7805371,17.97350491,0.0731,'10411',10.76929406,40.7805736,18.11250491,0.0837,0.19650657,0.19650657,2,12.209595,0.9818367,0.9818367,0.9818367,1,1,2,10.76926726,40.78055535,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.76926726,40.78055535,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'43',10.74493012,40.83369101,16.63950491,0.0345,'3406',10.74488872,40.83367424,16.64050491,0.0362,0.12790929,0.12790929,2,12.451216,0.9895057,0.9895057,0.9895057,1,1,2,10.74490942,40.833682625,'1407',10.74485987,40.83364965,16.88850491,0.0328,0.17974265,0.17974265,2,12.278077,0.9846208,0.9846208,0.9846208,1,1,3,10.7448929033333,40.8336716333333,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'50',10.71748579,40.89177533,16.03450491,0.0228,'3260',10.71743186,40.89174199,16.03450491,0.0247,0.18959413,0.18959413,2,12.238572,0.98298913,0.98298913,0.98298913,1,1,2,10.717458825,40.89175866,'7096',10.71741832,40.89174796,16.20550491,0.0274,0.116767354,0.116767354,2,12.480814,0.9903017,0.9903017,0.9903017,1,1,3,10.7174453233333,40.8917550933333,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'54',10.73344849,40.88060148,16.58550491,0.0363,'6093',10.73339091,40.88059321,16.70450491,0.0385,0.15952803,0.15952803,2,12.352539,0.98686385,0.98686385,0.98686385,1,1,2,10.7334197,40.880597345,'7130',10.73337294,40.88061742,16.72450491,0.0391,0.14636184,0.14636184,2,12.396266,0.98824185,0.98824185,0.98824185,1,1,3,10.7334041133333,40.8806040366667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'62',10.63626766,40.81637603,17.24950491,0.0301,'2094',10.63626617,40.81635391,17.57250491,0.0509,0.079735406,0.079735406,2,12.559822,0.99180865,0.99180865,0.99180865,1,1,2,10.636266915,40.81636497,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.636266915,40.81636497,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'64',10.62856711,40.82650081,16.37450491,0.0226,'5077',10.62852209,40.8264928,16.19050491,0.0242,0.12598321,0.12598321,2,12.456525,0.9896319,0.9896319,0.9896319,1,1,2,10.6285446,40.826496805,'5493',10.62849063,40.82649043,16.27450491,0.0231,0.14879985,0.14879985,2,12.3884535,0.98803097,0.98803097,0.98803097,1,1,3,10.62852661,40.82649468,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'66',10.61943712,40.82961832,16.81550491,0.0371,'4005',10.61946273,40.82957693,16.87350491,0.0441,0.16452587,0.16452587,2,12.334955,0.9863285,0.9863285,0.9863285,1,1,2,10.619449925,40.829597625,'399',10.61941438,40.82959934,16.92950491,0.0378,0.09702004,0.09702004,2,12.526651,0.99126464,0.99126464,0.99126464,1,1,3,10.6194380766667,40.8295981966667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'70',10.59544696,40.8568087,17.41950491,0.0366,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59544696,40.8568087,'52',10.59539676,40.85677229,17.53150491,0.0724,0.18937862,0.18937862,2,12.239459,0.9832147,0.9832147,0.9832147,1,1,2,10.59542186,40.856790495,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
