S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'25',10.71092952,40.83074889,17.72950491,0.0834,'1847',10.71097338,40.83073305,17.74950491,0.0761,0.13238235,0.13238235,2,12.438574,0.9891991,0.9891991,0.9891991,1,1,2,10.71095145,40.83074097,'5953',10.71099841,40.83073814,17.73750491,0.0961,0.12832035,0.12832035,2,12.450071,0.98959774,0.98959774,0.98959774,1,1
'27',10.71648552,40.83392331,15.42150491,0.0194,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71648552,40.83392331,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9840378,0,0
'27',10.71648552,40.83392331,15.42150491,0.0194,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71648552,40.83392331,'1093',10.71643819,40.83388688,15.49050491,0.0192,0.18390048,0.18390048,2,12.261661,0.9840378,0.9840378,0.9840378,1,1
'28',10.72189684,40.83540873,16.60550491,0.0274,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72189684,40.83540873,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'29',10.7423656,40.83187596,17.94750491,0.0933,'10372',10.74239459,40.83189019,18.44450491,0.1049,0.09412646,0.09412646,2,12.532657,0.9912845,0.9912845,0.9912845,1,1,2,10.742380095,40.831883075,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'30',10.7377485,40.81020585,18.34550491,0.0555,'252',10.73773277,40.81019117,18.40150491,0.0484,0.068043634,0.068043634,2,12.578582,0.9921522,0.9921522,0.9921522,1,1,2,10.737740635,40.81019851,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'31',10.73822779,40.810808,18.27050491,0.0563,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.73822779,40.810808,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'32',10.72144015,40.8324167,15.96350491,0.0338,'4728',10.72139349,40.83240015,16.19150491,0.0298,0.14036699,0.14036699,2,12.414928,0.9886016,0.9886016,0.9886016,1,1,2,10.72141682,40.832408425,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.98666996,0,0
'32',10.72144015,40.8324167,15.96350491,0.0338,'4728',10.72139349,40.83240015,16.19150491,0.0298,0.14036699,0.14036699,2,12.414928,0.9886016,0.9886016,0.9886016,1,1,2,10.72141682,40.832408425,'4750',10.72136601,40.83243224,16.28850491,0.0379,0.16280222,0.16280222,2,12.341081,0.98666996,0.98666996,0.98666996,1,1
'33',10.70281362,40.85529357,17.25850491,0.0502,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70281362,40.85529357,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
