S1_1_3_4_ID,S1_1_3_4_S1_1_3_S1_F1_RA,S1_1_3_4_S1_1_3_S1_F1_DEC,S1_1_3_4_S1_1_3_S1_F1_MAG1_1,S1_1_3_4_S1_1_3_S1_F1_ERR1_1,S1_1_3_4_S1_1_3_S1_F3_ID,S1_1_3_4_S1_1_3_S1_F3_RA,S1_1_3_4_S1_1_3_S1_F3_DEC,S1_1_3_4_S1_1_3_S1_F3_MAG1_3,S1_1_3_4_S1_1_3_S1_F3_ERR1_3,S1_1_3_4_S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_4_S1_1_3_Separation_max,S1_1_3_4_S1_1_3_ncat,S1_1_3_4_S1_1_3_dist_bayesfactor,S1_1_3_4_S1_1_3_dist_post,S1_1_3_4_S1_1_3_p_single,S1_1_3_4_S1_1_3_p_any,S1_1_3_4_S1_1_3_p_i,S1_1_3_4_S1_1_3_match_flag,S1_1_3_4_S1_1_3_asn,S1_1_3_4_S1_1_3_RA,S1_1_3_4_S1_1_3_DEC,S1_1_3_4_S1_F4_ID,S1_1_3_4_S1_F4_RA,S1_1_3_4_S1_F4_DEC,S1_1_3_4_S1_F4_MAG1_4,S1_1_3_4_S1_F4_ERR1_4,S1_1_3_4_Separation_S1_F4_S1_1_3,S1_1_3_4_Separation_max,S1_1_3_4_ncat,S1_1_3_4_dist_bayesfactor,S1_1_3_4_dist_post,S1_1_3_4_p_single,S1_1_3_4_p_any,S1_1_3_4_p_i,S1_1_3_4_match_flag,S1_1_3_4_asn,S1_1_3_4_RA,S1_1_3_4_DEC,S2_1_3_4_ID,S2_1_3_4_S2_1_3_S2_F1_RA,S2_1_3_4_S2_1_3_S2_F1_DEC,S2_1_3_4_S2_1_3_S2_F1_MAG2_1,S2_1_3_4_S2_1_3_S2_F1_ERR2_1,S2_1_3_4_S2_1_3_S2_F3_ID,S2_1_3_4_S2_1_3_S2_F3_RA,S2_1_3_4_S2_1_3_S2_F3_DEC,S2_1_3_4_S2_1_3_S2_F3_MAG2_3,S2_1_3_4_S2_1_3_S2_F3_ERR2_3,S2_1_3_4_S2_1_3_Separation_S2_F3_S2_F1,S2_1_3_4_S2_1_3_Separation_max,S2_1_3_4_S2_1_3_ncat,S2_1_3_4_S2_1_3_dist_bayesfactor,S2_1_3_4_S2_1_3_dist_post,S2_1_3_4_S2_1_3_p_single,S2_1_3_4_S2_1_3_p_any,S2_1_3_4_S2_1_3_p_i,S2_1_3_4_S2_1_3_match_flag,S2_1_3_4_S2_1_3_asn,S2_1_3_4_S2_1_3_RA,S2_1_3_4_S2_1_3_DEC,S2_1_3_4_S2_F4_ID,S2_1_3_4_S2_F4_RA,S2_1_3_4_S2_F4_DEC,S2_1_3_4_S2_F4_MAG2_4,S2_1_3_4_S2_F4_ERR2_4,S2_1_3_4_Separation_S2_F4_S2_1_3,S2_1_3_4_Separation_max,S2_1_3_4_ncat,S2_1_3_4_dist_bayesfactor,S2_1_3_4_dist_post,S2_1_3_4_p_single,S2_1_3_4_p_any,S2_1_3_4_p_i,S2_1_3_4_match_flag,S2_1_3_4_asn,S2_1_3_4_RA,S2_1_3_4_DEC,Separation_S2_1_3_4_S1_1_3_4,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag,total_asn,mean_RA,mean_DEC
97,10.59956708,40.87022629,17.07950491,0.0521,52,10.59950963,40.87020033,17.03050491,0.0606,0.18219146,0.18219146,2,11.936691,0.9664839,0.9664839,0.9664839,1.0,1,2,10.599538355,40.87021331,385,10.59950242,40.8701881,17.10650491,0.0642,0.13344114,0.13344114,2,11.978457,0.9698028,0.9698028,0.9698028,1.0,1,3,10.5995263766667,40.8702049066667,8546,10.59967424,40.87019204,17.73855224,0.0982,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.59967424,40.87019204,9668,10.59945412,40.87033862,19.08355224,0.2384,0.7984568,0.7984568,2,10.296308,0.3797967,0.3797967,0.3797967,1.0,1,2,10.59956418,40.87026533,0.24063987,0.24063987,2,11.86961,0.96273655,0.96273655,0.96273655,1.0,1,5,10.59954527833335,40.870235118333355
107,10.60381162,40.87390934,17.47450491,0.0586,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.60381162,40.87390934,2119,10.60374365,40.87385629,17.33750491,0.0601,0.26590854,0.26590854,2,11.834867,0.95846164,0.95846164,0.95846164,1.0,1,2,10.603777635,40.873882815,4627,10.60359974,40.87405483,18.52655224,0.1021,5221,10.60364338,40.87393078,18.23155224,0.1239,0.46211013,0.46211013,2,11.447154,0.89672,0.89672,0.89672,1.0,1,2,10.60362156,40.873992805,5169,10.6035317,40.87394768,18.61255224,0.1343,0.2936408,0.2936408,2,11.792747,0.95051175,0.95051175,0.95051175,1.0,1,3,10.6035916066667,40.8739777633333,0.6109613,0.6109613,2,11.013598,0.7825737,0.7825737,0.7825737,1.0,1,5,10.60368462083335,40.87393028916665
109,10.60918823,40.87081138,17.80050491,0.0782,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.60918823,40.87081138,9748,10.60900332,40.87078778,17.92750491,0.1018,0.510495,0.510495,2,11.319419,0.8756484,0.8756484,0.8756484,1.0,1,2,10.609095775,40.87079958,1783,10.60901811,40.87069067,18.29555224,0.0967,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.60901811,40.87069067,4411,10.609115,40.87081078,19.15755224,0.2829,0.5064941,0.5064941,2,11.330463,0.868849,0.868849,0.868849,1.0,1,2,10.609066555,40.870750725,0.19302967,0.19302967,2,11.9256525,0.9670994,0.9670994,0.9670994,1.0,1,4,10.609081165,40.8707751525
110,10.63373353,40.85200578,16.55950491,0.0388,606,10.63366476,40.85193843,16.69350491,0.0397,0.30635706,0.30635706,2,11.772037,0.9517776,0.9517776,0.9517776,1.0,1,2,10.633699145,40.851972105,383,10.63363254,40.85195641,16.64050491,0.0431,0.18996589,0.18996589,2,11.928838,0.9662711,0.9662711,0.9662711,1.0,1,3,10.6336769433333,40.8519668733333,563,10.6337644,40.85204397,17.21855224,0.0561,3995,10.63367787,40.85202361,17.00855224,0.051,0.24676198,0.24676198,2,11.86151,0.9575231,0.9575231,0.9575231,1.0,1,2,10.633721135,40.85203379,4002,10.63361621,40.85203151,17.16055224,0.0455,0.28583336,0.28583336,2,11.805027,0.9518251,0.9518251,0.9518251,1.0,1,3,10.63368616,40.85203303,0.23948272,0.23948272,2,11.871118,0.96286094,0.96286094,0.96286094,1.0,1,6,10.633681551666651,40.851999951666656
111,10.61347532,40.8647229,16.60450491,0.0295,7448,10.61339329,40.86462012,16.60550491,0.0359,0.43218243,0.43218243,2,11.519801,0.91695786,0.91695786,0.91695786,1.0,1,2,10.613434305,40.86467151,5106,10.61333477,40.86466921,16.61450491,0.031,0.27111304,0.27111304,2,11.82728,0.9577606,0.9577606,0.9577606,1.0,1,3,10.6134011266667,40.8646707433333,455,10.61344125,40.86469809,17.12455224,0.0591,4405,10.61337476,40.86468939,17.27655224,0.0533,0.18371014,0.18371014,2,11.935183,0.96391153,0.96391153,0.96391153,1.0,1,2,10.613408005,40.86469374,1662,10.61329135,40.86471036,17.32655224,0.0493,0.3231828,0.3231828,2,11.743285,0.94487125,0.94487125,0.94487125,1.0,1,3,10.61336912,40.86469928,0.13471103,0.13471103,2,11.977533,0.97069544,0.97069544,0.97069544,1.0,1,6,10.61338512333335,40.86468501166665
133,10.63196648,40.8635557,16.47950491,0.0399,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.63196648,40.8635557,7874,10.63187954,40.86356022,16.49850491,0.0501,0.23725899,0.23725899,2,11.873995,0.96190417,0.96190417,0.96190417,1.0,1,2,10.63192301,40.86355796,131,10.63198195,40.86358133,16.70455224,0.0583,425,10.63188843,40.86355778,16.82655224,0.0508,0.26835862,0.26835862,2,11.831313,0.9546034,0.9546034,0.9546034,1.0,1,2,10.63193519,40.863569555,512,10.63182088,40.86357132,16.76355224,0.0536,0.3112819,0.3112819,2,11.763781,0.94727844,0.94727844,0.94727844,1.0,1,3,10.6318970866667,40.8635701433333,0.08309615,0.08309615,2,12.008048,0.97262937,0.97262937,0.97262937,1.0,1,5,10.63191004833335,40.86356405166665
135,10.64632154,40.8658416,16.59750491,0.0529,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.64632154,40.8658416,7228,10.64624557,40.86579529,16.09050491,0.0388,0.26565295,0.26565295,2,11.835236,0.95849544,0.95849544,0.95849544,1.0,1,2,10.646283555,40.865818445,6281,10.64626563,40.86579726,16.17155224,0.0338,3250,10.64621201,40.86578101,15.94155224,0.0346,0.1572648,0.1572648,2,11.959659,0.96582156,0.96582156,0.96582156,1.0,1,2,10.64623882,40.865789135,6540,10.64618224,40.86578324,16.07455224,0.0288,0.15549292,0.15549292,2,11.961163,0.9658768,0.9658768,0.9658768,1.0,1,3,10.64621996,40.86578717,0.20652506,0.20652506,2,11.911016,0.9660101,0.9660101,0.9660101,1.0,1,5,10.6462517575,40.8658028075
136,10.64489485,40.90220346,15.80450491,0.0306,2587,10.64484825,40.9021626,15.91450491,0.024,0.19420327,0.19420327,2,11.924419,0.9655564,0.9655564,0.9655564,1.0,1,2,10.64487155,40.90218303,2603,10.64478707,40.90218736,15.93250491,0.03,0.23039654,0.23039654,2,11.882706,0.9626324,0.9626324,0.9626324,1.0,1,3,10.64484339,40.9021844733333,6785,10.64485401,40.90223518,15.87155224,0.0256,4694,10.64483774,40.9022144,15.92255224,0.0205,0.08692584,0.08692584,2,12.006281,0.9691934,0.9691934,0.9691934,1.0,1,2,10.644845875,40.90222479,4085,10.64474304,40.90223064,15.88455224,0.0386,0.2806035,0.2806035,2,11.813067,0.952667,0.952667,0.952667,1.0,1,3,10.6448115966667,40.90222674,0.17503281,0.17503281,2,11.943632,0.96839154,0.96839154,0.96839154,1.0,1,6,10.64482749333335,40.902205606666655
137,10.65859684,40.89760247,16.26950491,0.0344,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.65859684,40.89760247,477,10.65851252,40.8975697,16.10050491,0.0316,0.25800064,0.25800064,2,11.846112,0.9594804,0.9594804,0.9594804,1.0,1,2,10.65855468,40.897586085,6813,10.6585903,40.89760982,16.52655224,0.0398,2709,10.65848828,40.89759913,16.61855224,0.0352,0.28026858,0.28026858,2,11.813578,0.9528004,0.9528004,0.9528004,1.0,1,2,10.65853929,40.897604475,705,10.65842865,40.89759095,16.63855224,0.0523,0.30498213,0.30498213,2,11.774319,0.9484772,0.9484772,0.9484772,1.0,1,3,10.65850241,40.8975999666667,0.15075934,0.15075934,2,11.965097,0.96986985,0.96986985,0.96986985,1.0,1,5,10.658528545,40.897593025833345
138,10.67107789,40.89898799,17.61950491,0.0841,11520,10.67112981,40.89896248,18.82650491,0.1902,0.16850509,0.16850509,2,11.949719,0.9674421,0.9674421,0.9674421,1.0,1,2,10.67110385,40.898975235,181,10.67103159,40.89897115,17.60250491,0.0746,0.19717692,0.19717692,2,11.92126,0.9656978,0.9656978,0.9656978,1.0,1,3,10.6710797633333,40.8989738733333,2975,10.6711861,40.89904209,17.93955224,0.083,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.6711861,40.89904209,2132,10.67097582,40.89897718,18.22855224,0.1066,0.6180715,0.6180715,2,10.989879,0.75149363,0.75149363,0.75149363,1.0,1,2,10.67108096,40.899009635,0.12878317,0.12878317,2,11.981772,0.9709719,0.9709719,0.9709719,1.0,1,5,10.67108036166665,40.898991754166644
151,10.66244235,40.82436935,17.12750491,0.0541,794,10.66227364,40.82425796,17.54450491,0.0669,0.6099456,0.6099456,2,11.016964,0.7762401,0.7762401,0.7762401,1.0,1,2,10.662357995,40.824313655,4313,10.66235851,40.8242666,17.54550491,0.0571,0.1694038,0.1694038,2,11.948895,0.9677443,0.9677443,0.9677443,1.0,1,3,10.6623581666667,40.82429797,13098,10.66245291,40.82434111,17.50455224,0.1041,5810,10.66237559,40.82447126,17.85355224,0.1103,0.51370835,0.51370835,2,11.310486,0.86372846,0.86372846,0.86372846,1.0,1,2,10.66241425,40.824406185,1934,10.6622574,40.82433003,18.26855224,0.0978,0.50767857,0.50767857,2,11.327203,0.8679911,0.8679911,0.8679911,1.0,1,3,10.6623619666667,40.8243808,0.29836762,0.29836762,2,11.785151,0.95509636,0.95509636,0.95509636,1.0,1,6,10.6623600666667,40.824339385
160,10.65812701,40.83568535,16.66450491,0.0389,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.65812701,40.83568535,4339,10.65805301,40.83570416,16.69050491,0.0303,0.21262614,0.21262614,2,11.904076,0.9643626,0.9643626,0.9643626,1.0,1,2,10.65809001,40.835694755,660,10.65810854,40.83570118,16.89155224,0.0389,6156,10.65804875,40.83566892,16.78755224,0.0494,0.20002006,0.20002006,2,11.918195,0.9625259,0.9625259,0.9625259,1.0,1,2,10.658078645,40.83568505,1937,10.65800979,40.83573388,16.82555224,0.0482,0.2570471,0.2570471,2,11.8474455,0.95611113,0.95611113,0.95611113,1.0,1,3,10.6580556933333,40.8357013266667,0.09641643,0.09641643,2,12.001557,0.9722287,0.9722287,0.9722287,1.0,1,5,10.658072851666649,40.83569804083335
167,10.68584709,40.81267501,16.95850491,0.041,7248,10.68578105,40.81268969,16.88350491,0.0605,0.18753694,0.18753694,2,11.931327,0.96608144,0.96608144,0.96608144,1.0,1,2,10.68581407,40.81268235,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,2,10.68581407,40.81268235,4823,10.68579215,40.81274186,17.57555224,0.0726,2713,10.68577283,40.81270236,17.55455224,0.0974,0.15163065,0.15163065,2,11.964382,0.96617883,0.96617883,0.96617883,1.0,1,2,10.68578249,40.81272211,1321,10.68573219,40.81269387,17.54255224,0.094,0.17064111,0.17064111,2,11.947753,0.96484435,0.96484435,0.96484435,1.0,1,3,10.6857657233333,40.8127126966667,0.1711358,0.1711358,2,11.947294,0.96864855,0.96864855,0.96864855,1.0,1,5,10.68578989666665,40.812697523333355
168,10.63299532,40.87924429,17.34650491,0.0452,709,10.63301254,40.87922964,17.39350491,0.0538,0.070558146,0.070558146,2,12.013277,0.9717494,0.9717494,0.9717494,1.0,1,2,10.63300393,40.879236965,125,10.63292969,40.87924421,17.44050491,0.0502,0.20375207,0.20375207,2,11.914104,0.9651478,0.9651478,0.9651478,1.0,1,3,10.6329791833333,40.87923938,1357,10.63301201,40.87932699,17.31655224,0.0549,6091,10.63294146,40.8793025,17.32855224,0.0436,0.21130323,0.21130323,2,11.905598,0.9614655,0.9614655,0.9614655,1.0,1,2,10.632976735,40.879314745,3231,10.63284523,40.87927105,17.29855224,0.0516,0.39098558,0.39098558,2,11.61185,0.9268131,0.9268131,0.9268131,1.0,1,3,10.6329329,40.87930018,0.25254574,0.25254574,2,11.853671,0.9613974,0.9613974,0.9613974,1.0,1,6,10.632956041666649,40.87926978
